,Neighborhood,Price_2010,Price_2011,Price_2012,Price_2013,Price_2014,Price_2015,Price_2016,Price_2017,Price_2018
0,Queens,419458,412025,404500,430525,467283,501825,542466,587508,630591
1,Arverne,297700,284408,257183,265041,268775,278741,308375,322083,345691
2,Astoria,479733,494125,494266,522083,573666,630691,722725,787925,806800
3,Astoria Heights,287516,278333,280566,288508,320991,350183,386450,406425,436483
4,Auburndale,566316,553816,552841,586025,656008,714016,745916,812741,859200
5,Belle Harbor,795891,778891,718766,675325,667550,703308,781225,861058,928658
6,Bellerose,431175,421758,405083,439541,473100,490266,513483,555433,596775
7,Briarwood,387200,363600,369750,405558,430350,455375,494691,529066,594558
8,Broad Channel,0,0,0,0,0,164600,324600,356191,356058
9,Cambria Heights,368133,360975,350441,357533,375541,404150,413875,442800,454516
10,College Point,429958,426633,430075,451525,499300,545375,594625,644708,706083
11,Corona,328316,320333,318108,318350,383075,417500,445225,488683,532783
12,Douglaston-Little Neck,633250,665783,680100,707108,752958,816116,834866,900525,941558
13,East Elmhurst,431908,423433,411425,447650,502158,554566,587241,646091,705216
14,Elmhurst,370116,362500,356850,374625,405966,448400,479533,524150,556716
15,Far Rockaway,357208,365291,343408,345158,309100,365133,380391,402133,439291
16,Floral park,475858,473666,454341,482550,521941,558558,573825,604141,632100
17,Flushing,410558,440850,457258,478150,519408,551716,615908,652116,706450
18,Forest Hills,586716,589758,594358,629441,706108,769325,799583,870525,906625
19,Fresh Meadows,614325,614466,582150,609683,684666,750016,787400,839308,903441
20,Glen Oaks,472658,482400,452266,472925,537483,553000,580700,615641,625025
21,Glendale,432250,411533,402225,423708,465075,491608,540958,608341,651675
22,Hillcrest,481875,496133,473825,506608,554216,622008,679533,734041,783883
23,Hollis,359800,343925,347566,365700,385383,397258,421491,455783,471200
24,Holliswood,727383,717383,697975,752091,802475,868558,914266,923425,986825
25,Howard Beach,532866,539591,504708,513733,516941,540650,569125,630866,654725
26,Hunters Point,598625,604416,633533,713625,836000,988091,1141725,1164791,1181966
27,Jackson Heights,362791,348433,343266,340191,369500,398525,460191,514733,555825
28,Jamaica,309741,292658,292425,301158,334700,344833,380175,393958,436275
29,Jamaica Estates,751575,747300,730458,804691,866116,916783,974608,1027441,1102458
30,Jamaica Hills,465175,443791,434133,486591,534216,576633,614016,674866,729308
31,Kew Gardens,412516,399883,412016,433308,477808,485366,519558,548983,623708
32,Kew Gardens Hills,480016,493066,493558,518308,563341,627891,691391,743633,803266
33,Laurelton,363975,348525,351275,359316,382583,407783,418441,439750,457183
34,Malba,884558,864608,920941,978483,1034333,1131616,1220250,1307408,1399750
35,Maspeth,451958,448675,442666,473383,520191,577933,615433,664300,698141
36,Middle Village,487333,475208,472175,516908,560883,608908,638408,707608,722483
37,Murray Hill,586858,576816,553225,592000,663425,715225,760958,824933,882141
38,Neponsit,1013158,980750,1018708,1029925,917858,966175,1066708,993975,1122866
39,Oakland Gardens,643158,623800,615733,648558,706216,752866,810241,863091,894158
40,Ozone Park,355500,349850,322016,345658,390883,418700,440075,472008,509041
41,Pomonok,402133,376941,392166,408641,442975,480258,514591,538508,611416
42,Queens Village,358825,341850,340741,354733,385975,416425,436933,463658,490900
43,Rego Park,489975,503825,474558,500533,560975,623408,669816,741375,763658
44,Richmond Hill,359416,339650,343983,361466,399091,417466,446958,490258,541691
45,Rochdale,328308,315733,318291,344808,362175,383991,392541,421441,440800
46,Rockaway Beach,314175,294675,294191,317033,266341,294666,320350,335516,320691
47,Rockaway Park,474158,483883,437350,400383,416350,447966,441950,486675,511266
48,Rosedale,360033,347350,333966,339808,368991,390075,415316,436733,461058
49,South Ozone Park,332416,310041,312966,344925,377508,393241,427625,455391,482600
50,Springfield Gardens,335541,326358,325825,340416,353183,380783,381316,407233,428508
51,St. Albans,335800,323075,324741,349116,365375,378033,387925,422108,442833
52,Sunnyside,422750,424800,435691,472058,502608,571800,626758,654516,696350
53,Utopia,623541,628516,587791,626766,694816,774591,822800,873566,934508
54,Whitestone,607825,602508,569133,601508,681216,722741,770000,817008,888050
55,Woodhaven,338591,338125,328700,355666,383775,425666,449275,494375,553266
56,Woodside,477133,445783,459908,484283,521183,585416,627091,687141,724233
